label,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,torso_to_horizontal,shoulder_width,hip_width,knee_width,ankle_width,left_femur_length,right_femur_length,left_tibia_length,right_tibia_length,left_torso_length,right_torso_length,left_arm_length,right_arm_length,hip_to_ankle_center,knee_to_ankle_ratio_left,knee_to_ankle_ratio_right,knee_forward_left,knee_forward_right
downdog,179.56794612879855,178.2322030960046,91.30894565433469,87.00977225479632,0.22468434599379783,0.897656742431006,125.05533320051029,1.0406084060668945,0.9593914151191711,1.0038540363311768,1.301748275756836,6.344600677490234,5.509628772735596,5.918592929840088,5.341857433319092,8.792634963989258,7.501718997955322,7.580569744110107,6.0015058517456055,11.555093765258789,0.9328549262341297,0.9695492535184985,4.860411643981934,4.345790863037109
downdog,172.54954498256802,173.6208353945185,54.81408919891412,55.554142260016306,3.5608448514375524,3.2194790855114284,119.68422638210602,0.9467544555664062,1.0532456636428833,1.121820330619812,1.8702826499938965,14.142688751220703,13.963652610778809,15.446518898010254,13.70412540435791,20.055419921875,18.63994789123535,16.96286392211914,14.449469566345215,28.57569122314453,1.092191030824035,0.9814140185903377,15.08405876159668,13.419615745544434
downdog,169.00472090819696,162.41324502577467,61.08797648536002,60.93567103125699,5.874463371351779,10.140125294249067,77.83991727764541,0.8236918449401855,1.1763079166412354,1.5334882736206055,3.0512895584106445,12.687389373779297,12.133452415466309,11.064501762390137,8.932014465332031,13.084046363830566,12.23912525177002,16.416587829589844,14.663385391235352,22.2321834564209,0.8720864918964627,0.7361477527862383,9.62028980255127,8.150601387023926
downdog,178.5097028947831,175.7468324876942,175.18260690228936,167.98250970692695,0.7638704685149376,2.30978177271179,98.02928286970496,1.3192780017852783,0.6807219386100769,0.41260427236557007,0.18511396646499634,1.8739434480667114,1.9327329397201538,1.7816424369812012,1.6260290145874023,2.3137998580932617,2.1504831314086914,2.6234612464904785,3.0694472789764404,3.597616672515869,0.9507445318452555,0.8413103227352855,0.6705899834632874,0.44634515047073364
downdog,178.69463703385452,179.25743201986788,61.93363774787281,58.90694837084103,0.6720213582780179,0.3891652016442876,122.35427231952025,1.3885579109191895,0.6114417910575867,0.26407530903816223,1.4025601148605347,11.129895210266113,10.256317138671875,10.47419261932373,9.343650817871094,13.519492149353027,12.483312606811523,13.141615867614746,11.504914283752441,20.60093116760254,0.9410862798219477,0.9110141369972202,5.163427352905273,4.495145320892334
downdog,176.05791686804312,175.64859309732404,55.84252821013581,54.18813044217355,1.947825753941894,2.108957422253096,41.77997130388534,0.6211223602294922,1.3788763284683228,0.8664970993995667,1.526334285736084,22.148666381835938,22.943389892578125,22.673030853271484,24.399368286132812,28.377458572387695,30.176820755004883,23.638385772705078,27.70473289489746,46.051605224609375,1.0236747187718198,1.0634595557549287,22.371191024780273,24.11395263671875
downdog,178.2452032074464,177.4837048668001,61.324591214145194,66.08882290280852,0.8406988458095362,1.2274854487086873,124.23790527425616,0.8490076065063477,1.150992751121521,0.8369744420051575,1.4355946779251099,10.411158561706543,9.67863941192627,11.320442199707031,10.160343170166016,12.615854263305664,10.989925384521484,13.224918365478516,10.88999080657959,20.780094146728516,1.087337306916795,1.04976967195167,11.179183959960938,9.978985786437988
downdog,157.73945939233667,173.719648091014,26.879233225713097,54.47596375618446,8.540424872953437,3.1259349385692863,130.2784698435815,0.8427715301513672,1.1572277545928955,20.702550888061523,35.62908172607422,9.855079650878906,19.69393539428711,15.739435195922852,19.874574661254883,20.600351333618164,20.8668270111084,21.664339065551758,24.994510650634766,28.166526794433594,1.597088421038864,1.009172278378038,9.625448226928711,19.83661651611328
downdog,173.28378827716932,172.7622063254016,101.43238961064638,98.21365359639564,3.4193057162114573,3.5859947134914116,107.19339850681652,1.0702266693115234,0.9297732710838318,1.1138135194778442,2.274522066116333,12.7777681350708,13.338826179504395,12.321172714233398,13.583052635192871,20.333242416381836,20.931276321411133,18.5216064453125,21.23097801208496,25.961790084838867,0.9642663428951621,1.01830936501402,12.321056365966797,13.582375526428223
downdog,174.44028377423393,175.29955354498077,64.09354573824817,63.25367045679123,2.826531718366908,2.415650533034529,158.38051424981697,1.1542930603027344,0.8457067608833313,1.0332332849502563,1.4543449878692627,19.72995948791504,19.47203254699707,19.078536987304688,18.41694450378418,24.764387130737305,23.32012939453125,24.45637321472168,21.20998191833496,38.30974578857422,0.966983030654858,0.9458151589218269,15.331016540527344,14.64145565032959
